series,11-2014,12-2014,01-2015,02-2015,03-2015,04-2015,05-2015,06-2015,07-2015,08-2015,09-2015,10-2015,11-2015,12-2015,01-2016,02-2016,03-2016,04-2016,05-2016,06-2016,07-2016,08-2016,09-2016,10-2016,11-2016,12-2016,01-2017,02-2017,03-2017,04-2017,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,01-2020,02-2020,03-2020,04-2020,05-2020,06-2020,07-2020,08-2020,09-2020,10-2020,11-2020,12-2020,01-2021,02-2021,03-2021,04-2021,05-2021,06-2021,07-2021,08-2021,09-2021,10-2021,11-2021,12-2021,01-2022,02-2022,03-2022,04-2022,05-2022,06-2022,07-2022,08-2022,09-2022,10-2022,11-2022,12-2022,01-2023,02-2023,03-2023,04-2023,05-2023,06-2023,07-2023,08-2023,09-2023,10-2023,11-2023,12-2023,01-2024,02-2024,03-2024,04-2024,05-2024,06-2024,07-2024,08-2024,09-2024,10-2024,11-2024
Alaska Incidents,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,2,0,0,0,1,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,3,1,0,3,0,2,0,2,0,0,0,1,3,1,1,1,1,0,0,0,0,0,2,2,1,3,6,2,1,2,1,0,0,1,0,0,1,3,0,0,1,0,0,1,2,1,1,1,2,4,3,1,2,2,0,,,,,,,,,,,
Alabama Incidents,0,2,0,0,1,2,0,3,2,0,0,0,2,0,0,1,3,2,0,1,0,3,1,3,0,0,2,1,2,0,0,1,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,6,6,3,4,5,1,0,2,2,2,1,5,17,21,20,29,18,22,28,19,29,23,25,23,16,19,11,24,19,20,18,20,15,20,15,18,19,11,18,18,15,10,17,8,11,22,15,,,,,,,,,,,
Arkansas Incidents,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2,0,2,0,4,1,1,0,0,7,3,2,1,2,3,2,2,3,0,3,3,3,1,2,0,2,2,2,1,1,0,1,0,0,1,2,2,2,0,2,3,2,0,0,4,4,4,3,2,1,4,2,0,1,2,2,2,1,6,1,4,2,1,3,2,2,2,1,0,2,5,1,3,5,1,3,2,0,2,2,1,2,2,3,2,7,3,1,3,,,,,,,,,,,
Arizona Incidents,18,19,35,29,27,34,34,22,18,22,12,11,16,16,19,8,19,15,16,18,21,15,20,12,32,22,19,21,22,23,24,16,28,12,21,29,30,19,19,17,15,12,22,11,17,11,7,14,10,14,15,15,16,15,14,32,14,20,13,22,16,17,6,18,19,14,26,32,26,34,33,29,24,24,21,24,28,29,19,20,27,16,18,16,9,13,18,19,17,14,22,12,22,20,20,13,16,23,11,18,23,10,22,23,16,19,21,22,27,18,,,,,,,,,,,
California Incidents,52,46,71,63,64,84,65,67,86,72,61,58,68,78,59,74,89,74,56,85,90,50,83,81,116,74,93,89,105,91,100,83,85,114,110,82,74,68,79,73,87,86,102,105,102,96,95,85,75,80,70,69,96,84,84,95,102,104,80,85,92,54,77,78,92,76,101,178,160,151,108,129,113,76,111,115,155,196,158,185,139,158,167,131,133,116,106,174,161,154,235,206,213,186,173,197,154,137,149,145,141,182,144,172,162,170,167,220,172,147,,,,,,,,,,,
Colorado Incidents,4,8,6,6,8,14,17,6,6,15,10,8,8,3,6,4,4,4,9,4,10,16,6,9,20,13,13,9,5,6,8,8,4,4,5,7,5,4,6,4,10,6,15,12,3,8,11,7,11,5,15,17,19,20,30,22,29,31,12,12,14,12,16,19,11,17,24,39,33,31,29,21,24,13,19,17,13,25,22,26,29,23,32,17,28,26,15,20,36,20,27,32,33,31,20,23,27,31,18,17,12,16,20,27,28,26,25,25,29,29,,,,,,,,,,,
Connecticut Incidents,8,9,11,6,3,3,9,8,8,6,9,8,11,11,8,4,13,11,9,11,5,9,6,13,13,6,11,4,6,11,8,13,8,12,10,14,8,5,5,5,8,6,12,8,10,8,9,5,13,6,6,5,5,1,9,11,6,14,4,5,5,9,4,11,8,4,10,16,9,10,8,8,9,3,4,8,9,8,6,11,5,7,1,5,8,3,5,4,18,4,12,8,4,6,8,5,12,6,6,4,7,5,11,11,4,11,5,12,12,15,,,,,,,,,,,
District of Columbia Incidents,7,1,4,4,5,2,5,7,5,4,9,8,6,6,8,4,8,11,11,17,13,8,7,13,10,5,7,11,15,15,13,19,13,17,18,23,24,18,9,12,13,15,11,28,19,26,19,27,17,17,11,17,33,22,19,19,14,22,25,26,7,7,13,12,10,5,6,10,10,15,17,19,5,11,0,0,1,2,0,0,0,15,16,11,10,9,7,12,4,23,17,14,17,15,6,9,17,10,12,10,25,11,21,15,15,18,16,20,14,11,,,,,,,,,,,
Delaware Incidents,0,0,3,0,0,2,1,1,0,0,1,1,1,1,0,0,3,1,0,2,0,2,1,3,2,1,4,2,4,1,2,1,1,5,3,5,1,0,1,2,3,4,1,0,0,2,1,3,1,3,2,1,3,2,4,0,2,3,1,2,1,1,0,3,1,0,2,4,0,1,2,0,0,0,1,0,0,0,0,2,0,2,0,3,0,1,2,0,1,3,1,2,1,0,1,1,2,2,0,2,0,2,1,0,1,2,3,3,4,1,,,,,,,,,,,
Florida Incidents,9,6,6,7,4,4,8,10,6,6,4,6,4,7,11,9,8,7,11,16,10,4,9,7,11,7,10,27,12,10,15,6,10,11,10,11,11,12,8,9,11,13,14,6,24,12,10,7,12,15,11,9,14,7,14,5,9,5,7,13,7,10,12,6,5,7,5,17,14,11,8,3,15,9,15,8,18,20,21,14,11,16,19,12,12,10,22,20,13,23,16,10,13,7,28,13,12,22,18,11,34,17,15,11,15,12,26,17,25,26,,,,,,,,,,,
